50 75
30.000000 21.000000
30.000000 2.000000
22.000000 35.000000
12.000000 0.000000
9.000000 1.000000
28.000000 47.000000
11.000000 13.000000
45.000000 26.000000
39.000000 30.000000
12.000000 9.000000
14.000000 31.000000
13.000000 34.000000
8.000000 25.000000
18.000000 0.000000
21.000000 39.000000
5.000000 43.000000
24.000000 17.000000
45.000000 33.000000
21.000000 23.000000
33.000000 32.000000
38.000000 15.000000
2.000000 33.000000
43.000000 43.000000
16.000000 5.000000
4.000000 32.000000
39.000000 17.000000
16.000000 49.000000
44.000000 35.000000
49.000000 3.000000
38.000000 22.000000
18.000000 20.000000
6.000000 33.000000
39.000000 39.000000
18.000000 27.000000
6.000000 20.000000
15.000000 29.000000
13.000000 46.000000
17.000000 45.000000
40.000000 5.000000
20.000000 34.000000
0.000000 38.000000
5.000000 12.000000
1.000000 13.000000
46.000000 40.000000
20.000000 10.000000
36.000000 33.000000
10.000000 3.000000
14.000000 18.000000
24.000000 27.000000
14.000000 12.000000
1 17 7.211103
1 30 8.062258
2 39 10.440307
2 45 12.806248
3 40 2.236068
3 49 8.246211
4 5 3.162278
4 14 6.605551
5 47 2.236068
5 24 8.062258
6 15 10.630146
6 38 11.180340
7 50 3.162278
7 48 5.830952
8 18 7.000000
8 30 8.062258
9 46 4.242641
9 28 7.071068
10 50 3.605551
10 24 5.656854
11 36 2.236068
11 34 5.656854
12 11 3.162278
12 40 6.385165
13 35 5.385165
13 36 8.062258
14 24 5.385165
14 2 12.544004
15 3 4.123106
15 40 5.099020
16 41 7.071068
16 32 11.045361
17 19 6.708204
17 31 6.708204
18 28 2.236068
18 44 7.071068
19 31 4.242641
19 34 5.000000
20 46 3.162278
20 33 9.219544
21 26 2.236068
21 30 7.000000
22 25 2.236068
13 25 8.354147
23 44 4.242641
23 28 7.206556
24 47 6.324555
25 32 2.236068
26 30 5.099020
27 38 4.123106
27 16 12.529964
28 44 5.385165
29 39 9.219544
29 26 17.204651
31 48 4.472136
32 12 7.810250
33 23 5.656854
33 28 6.403124
34 36 3.605551
34 49 6.000000
35 42 8.062258
37 38 4.123106
37 40 13.892444
39 26 12.041595
41 22 5.385165
41 25 7.211103
42 43 4.123106
42 10 7.615773
43 35 9.704700
45 50 6.324555
45 17 8.062258
46 28 7.708204
47 10 6.324555
48 50 6.000000
49 19 5.000000
